,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
60,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-,0,0,0,1,0,1,0,0,1
120,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0
180,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1
540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
