,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
60,0,0,1,0,0,0,0,0,0,0,1,1,1,3,2,2,0,5,6,0,9,-,1,63
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,-,0,3
240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0
540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0
780,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0
